                 MCMC no.              Sample_1(BP)              Sample_2(BP)              Sample_3(BP)              Sample_4(BP)              Sample_5(BP)              Sample_6(BP)              Sample_7(BP)              Sample_8(BP)              Sample_9(BP)             Sample_10(BP)             Sample_11(BP)             Sample_12(BP)             Sample_13(BP)             Sample_14(BP)             Sample_15(BP)             Sample_16(BP)             Sample_17(BP)             Sample_18(BP)             Sample_19(BP) 
                      369                     14462                     13010                     11923                     10035                      9737                      9315                      8926                      6256                      5506                      5352                      5143                      4202                      4115                      3586                      2590                      2024                      1702                      1419                       614 
                      370                     14466                     13006                     11928                     10042                      9740                      9309                      8915                      6256                      5508                      5348                      5148                      4195                      4114                      3575                      2592                      2023                      1696                      1417                       614 
                      371                     14471                     13008                     11932                     10045                      9735                      9315                      8923                      6258                      5505                      5348                      5152                      4194                      4116                      3582                      2599                      2016                      1702                      1418                       619 
                      372                     14474                     13006                     11937                     10044                      9728                      9313                      8918                      6258                      5505                      5353                      5143                      4190                      4122                      3586                      2601                      2022                      1701                      1420                       611 
                      373                     14477                     12999                     11931                     10040                      9725                      9314                      8922                      6256                      5499                      5348                      5128                      4190                      4112                      3594                      2603                      2032                      1701                      1429                       609 
                      374                     14476                     12992                     11927                     10040                      9731                      9321                      8930                      6247                      5501                      5345                      5133                      4195                      4108                      3584                      2611                      2028                      1704                      1420                       617 
                      375                     14477                     12996                     11924                     10046                      9733                      9331                      8930                      6248                      5504                      5343                      5133                      4197                      4106                      3580                      2603                      2025                      1703                      1422                       614 
                      376                     14473                     13007                     11931                     10045                      9739                      9340                      8935                      6251                      5504                      5343                      5142                      4201                      4115                      3574                      2606                      2028                      1703                      1425                       604 
                      377                     14482                     13002                     11930                     10038                      9740                      9342                      8933                      6242                      5508                      5345                      5146                      4193                      4124                      3590                      2596                      2022                      1703                      1418                       602 
                      378                     14479                     12999                     11939                     10041                      9734                      9345                      8940                      6245                      5513                      5355                      5145                      4197                      4114                      3586                      2596                      2023                      1698                      1422                       608 
                      379                     14482                     12998                     11938                     10047                      9734                      9355                      8937                      6241                      5519                      5344                      5147                      4202                      4107                      3578                      2588                      2015                      1703                      1425                       612 
                      380                     14477                     12991                     11950                     10044                      9724                      9359                      8937                      6239                      5517                      5339                      5146                      4204                      4102                      3585                      2588                      2018                      1700                      1422                       613 
                      381                     14487                     12989                     11952                     10033                      9718                      9360                      8944                      6233                      5517                      5329                      5147                      4212                      4104                      3588                      2592                      2013                      1704                      1414                       608 
                      382                     14480                     12996                     11955                     10037                      9719                      9363                      8944                      6233                      5520                      5333                      5143                      4209                      4104                      3582                      2592                      2018                      1699                      1420                       613 
                      383                     14486                     12994                     11960                     10034                      9723                      9356                      8941                      6242                      5519                      5333                      5142                      4209                      4106                      3572                      2592                      2017                      1703                      1421                       611 
                      384                     14487                     12983                     11963                     10038                      9725                      9351                      8944                      6238                      5518                      5332                      5137                      4205                      4102                      3568                      2594                      2022                      1701                      1424                       609 
                      385                     14484                     12985                     11960                     10040                      9718                      9355                      8943                      6230                      5512                      5330                      5142                      4201                      4102                      3564                      2592                      2025                      1704                      1424                       607 
                      386                     14489                     12985                     11960                     10036                      9719                      9358                      8941                      6236                      5513                      5331                      5142                      4200                      4101                      3565                      2590                      2037                      1701                      1422                       603 
                      387                     14481                     12998                     11962                     10038                      9727                      9358                      8948                      6238                      5510                      5336                      5145                      4202                      4093                      3556                      2603                      2041                      1703                      1427                       605 
                      388                     14483                     13006                     11969                     10035                      9727                      9352                      8948                      6239                      5504                      5329                      5149                      4202                      4097                      3542                      2596                      2036                      1699                      1432                       606 
                      389                     14477                     13009                     11960                     10027                      9722                      9346                      8946                      6242                      5502                      5323                      5153                      4199                      4098                      3543                      2600                      2026                      1703                      1429                       607 
                      390                     14478                     13005                     11947                     10026                      9714                      9340                      8946                      6234                      5504                      5329                      5154                      4199                      4104                      3546                      2602                      2024                      1704                      1432                       616 
                      391                     14472                     12999                     11952                     10030                      9717                      9342                      8943                      6231                      5493                      5327                      5149                      4197                      4105                      3548                      2600                      2025                      1705                      1422                       609 
                      392                     14472                     12995                     11951                     10035                      9712                      9347                      8935                      6231                      5485                      5328                      5144                      4201                      4101                      3555                      2607                      2031                      1704                      1419                       621 
                      393                     14466                     12992                     11954                     10037                      9716                      9347                      8926                      6233                      5480                      5316                      5138                      4204                      4102                      3555                      2603                      2028                      1702                      1426                       619 
                      394                     14472                     12992                     11954                     10035                      9720                      9337                      8919                      6229                      5477                      5311                      5122                      4210                      4105                      3568                      2597                      2029                      1699                      1414                       616 
                      395                     14472                     13001                     11954                     10041                      9734                      9340                      8916                      6234                      5471                      5308                      5118                      4212                      4104                      3576                      2593                      2021                      1704                      1423                       609 
                      396                     14468                     13001                     11958                     10041                      9737                      9345                      8911                      6233                      5472                      5311                      5106                      4216                      4105                      3571                      2600                      2030                      1703                      1422                       613 
                      397                     14462                     13000                     11972                     10043                      9738                      9349                      8910                      6230                      5463                      5307                      5102                      4219                      4101                      3568                      2605                      2031                      1702                      1419                       620 
                      398                     14467                     13001                     11965                     10036                      9728                      9355                      8915                      6238                      5459                      5309                      5106                      4219                      4102                      3571                      2600                      2032                      1704                      1419                       623 
                      399                     14455                     13005                     11960                     10040                      9730                      9348                      8923                      6239                      5457                      5306                      5114                      4226                      4097                      3570                      2598                      2033                      1705                      1417                       611 
                      400                     14466                     13005                     11956                     10042                      9732                      9347                      8922                      6241                      5447                      5305                      5111                      4213                      4099                      3575                      2599                      2034                      1708                      1413                       614 
                      401                     14464                     13003                     11963                     10045                      9732                      9344                      8924                      6233                      5446                      5300                      5109                      4214                      4099                      3574                      2599                      2034                      1700                      1415                       629 
                      402                     14458                     13006                     11975                     10038                      9731                      9342                      8919                      6237                      5440                      5301                      5103                      4217                      4105                      3574                      2600                      2032                      1702                      1415                       628 
                      403                     14453                     13015                     11968                     10043                      9727                      9341                      8915                      6240                      5442                      5310                      5102                      4212                      4108                      3580                      2592                      2030                      1701                      1419                       629 
                      404                     14456                     13022                     11966                     10041                      9717                      9345                      8912                      6234                      5443                      5306                      5107                      4215                      4106                      3581                      2586                      2039                      1704                      1422                       615 
                      405                     14456                     13020                     11968                     10041                      9716                      9346                      8914                      6230                      5454                      5304                      5100                      4221                      4110                      3582                      2584                      2040                      1703                      1425                       618 
                      406                     14451                     13024                     11962                     10054                      9715                      9348                      8911                      6234                      5456                      5295                      5101                      4217                      4103                      3579                      2582                      2032                      1703                      1434                       615 
                      407                     14454                     13021                     11964                     10066                      9713                      9350                      8909                      6237                      5456                      5289                      5113                      4215                      4093                      3588                      2586                      2042                      1702                      1444                       614 
                      408                     14459                     13018                     11959                     10067                      9720                      9352                      8915                      6232                      5454                      5289                      5112                      4210                      4084                      3592                      2576                      2044                      1703                      1445                       618 
                      409                     14462                     13015                     11960                     10072                      9727                      9353                      8919                      6235                      5455                      5286                      5113                      4201                      4081                      3594                      2572                      2056                      1709                      1442                       619 
                      410                     14459                     13013                     11959                     10072                      9725                      9352                      8915                      6234                      5452                      5281                      5119                      4195                      4082                      3595                      2562                      2055                      1708                      1445                       620 
                      411                     14469                     13003                     11959                     10066                      9727                      9333                      8912                      6231                      5447                      5276                      5117                      4192                      4079                      3595                      2569                      2069                      1702                      1444                       611 
                      412                     14486                     13000                     11964                     10065                      9723                      9327                      8909                      6231                      5448                      5270                      5117                      4193                      4076                      3587                      2569                      2073                      1702                      1439                       613 
                      413                     14478                     13004                     11958                     10063                      9731                      9321                      8915                      6242                      5457                      5276                      5114                      4194                      4068                      3585                      2565                      2081                      1699                      1441                       606 
                      414                     14489                     13000                     11951                     10055                      9739                      9324                      8920                      6242                      5455                      5278                      5108                      4190                      4068                      3576                      2568                      2080                      1695                      1454                       604 
                      415                     14491                     12999                     11948                     10050                      9740                      9321                      8919                      6243                      5454                      5281                      5100                      4183                      4070                      3570                      2575                      2088                      1704                      1458                       614 
                      416                     14484                     12998                     11948                     10047                      9740                      9321                      8910                      6249                      5448                      5283                      5099                      4184                      4070                      3573                      2578                      2091                      1706                      1457                       608 
                      417                     14482                     13003                     11962                     10049                      9750                      9307                      8915                      6249                      5445                      5290                      5096                      4169                      4068                      3576                      2584                      2085                      1705                      1449                       599 
                      418                     14476                     12999                     11961                     10047                      9765                      9310                      8917                      6250                      5454                      5294                      5097                      4171                      4068                      3595                      2578                      2086                      1703                      1447                       606 
                      419                     14472                     12993                     11963                     10053                      9770                      9311                      8925                      6247                      5451                      5299                      5100                      4174                      4067                      3601                      2576                      2085                      1706                      1449                       611 
                      420                     14471                     12991                     11964                     10051                      9762                      9316                      8930                      6253                      5451                      5302                      5098                      4161                      4064                      3599                      2581                      2088                      1705                      1458                       610 
                      421                     14467                     12990                     11967                     10046                      9748                      9323                      8934                      6253                      5449                      5309                      5095                      4166                      4064                      3597                      2584                      2087                      1703                      1452                       616 
                      422                     14467                     12985                     11965                     10047                      9740                      9324                      8936                      6256                      5453                      5315                      5098                      4173                      4065                      3600                      2580                      2091                      1702                      1446                       619 
                      423                     14466                     12984                     11968                     10045                      9744                      9326                      8946                      6256                      5456                      5309                      5094                      4177                      4070                      3605                      2579                      2084                      1701                      1453                       617 
                      424                     14465                     12976                     11971                     10037                      9736                      9315                      8951                      6254                      5464                      5306                      5102                      4179                      4077                      3609                      2583                      2078                      1705                      1457                       611 
                      425                     14474                     12980                     11970                     10045                      9728                      9318                      8950                      6249                      5459                      5303                      5102                      4175                      4073                      3600                      2579                      2081                      1705                      1460                       607 
                      426                     14475                     12990                     11982                     10047                      9734                      9324                      8959                      6257                      5461                      5302                      5098                      4177                      4075                      3605                      2575                      2090                      1704                      1455                       612 
                      427                     14471                     13002                     11987                     10051                      9731                      9328                      8961                      6250                      5456                      5298                      5100                      4177                      4080                      3600                      2582                      2096                      1706                      1454                       614 
                      428                     14474                     12994                     11990                     10046                      9726                      9332                      8956                      6250                      5453                      5294                      5096                      4175                      4079                      3596                      2589                      2109                      1707                      1453                       622 
                      429                     14463                     12994                     11993                     10043                      9738                      9324                      8950                      6249                      5444                      5292                      5103                      4178                      4082                      3605                      2581                      2112                      1704                      1456                       625 
                      430                     14469                     13001                     11986                     10046                      9739                      9320                      8951                      6253                      5447                      5291                      5100                      4177                      4081                      3602                      2580                      2107                      1707                      1459                       626 
                      431                     14471                     13001                     11996                     10039                      9740                      9316                      8949                      6259                      5457                      5296                      5100                      4177                      4078                      3600                      2576                      2113                      1702                      1450                       628 
                      432                     14479                     13011                     11991                     10039                      9744                      9323                      8948                      6261                      5448                      5292                      5095                      4181                      4074                      3602                      2582                      2108                      1701                      1447                       616 
                      433                     14478                     13020                     11993                     10042                      9747                      9319                      8947                      6256                      5447                      5299                      5102                      4172                      4070                      3605                      2581                      2113                      1704                      1443                       615 
                      434                     14479                     13028                     11991                     10036                      9743                      9324                      8950                      6263                      5447                      5292                      5108                      4171                      4073                      3603                      2580                      2110                      1699                      1442                       617 
                      435                     14486                     13029                     11991                     10033                      9746                      9331                      8947                      6252                      5447                      5295                      5112                      4170                      4077                      3606                      2588                      2107                      1703                      1438                       613 
                      436                     14480                     13031                     11989                     10042                      9741                      9331                      8949                      6248                      5451                      5292                      5111                      4170                      4078                      3600                      2597                      2116                      1701                      1433                       611 
                      437                     14479                     13026                     11996                     10035                      9739                      9344                      8941                      6254                      5457                      5293                      5115                      4172                      4074                      3609                      2596                      2119                      1702                      1434                       607 
                      438                     14481                     13023                     11991                     10031                      9731                      9348                      8937                      6247                      5453                      5289                      5114                      4169                      4076                      3610                      2598                      2117                      1701                      1438                       610 
                      439                     14488                     13030                     11992                     10032                      9730                      9348                      8943                      6258                      5446                      5282                      5115                      4165                      4077                      3617                      2595                      2116                      1706                      1440                       607 
                      440                     14476                     13040                     11988                     10026                      9735                      9344                      8946                      6259                      5444                      5283                      5110                      4163                      4081                      3620                      2597                      2116                      1705                      1445                       613 
                      441                     14484                     13041                     11984                     10031                      9729                      9346                      8948                      6259                      5440                      5284                      5114                      4169                      4089                      3619                      2602                      2110                      1703                      1448                       606 
                      442                     14482                     13040                     11985                     10018                      9734                      9354                      8945                      6258                      5439                      5294                      5108                      4166                      4096                      3620                      2602                      2108                      1703                      1445                       607 
                      443                     14484                     13039                     11994                     10019                      9734                      9352                      8943                      6255                      5448                      5288                      5104                      4165                      4092                      3617                      2601                      2102                      1705                      1444                       607 
                      444                     14489                     13034                     11990                     10018                      9735                      9352                      8939                      6262                      5449                      5288                      5113                      4167                      4091                      3620                      2604                      2096                      1705                      1438                       609 
                      445                     14489                     13035                     11990                     10016                      9741                      9354                      8939                      6260                      5450                      5287                      5102                      4167                      4082                      3617                      2602                      2087                      1701                      1444                       613 
                      446                     14488                     13034                     11993                     10015                      9740                      9356                      8937                      6272                      5444                      5288                      5099                      4165                      4083                      3616                      2595                      2094                      1704                      1456                       621 
                      447                     14486                     13029                     11998                     10011                      9744                      9355                      8929                      6262                      5446                      5274                      5105                      4170                      4084                      3612                      2597                      2089                      1700                      1451                       620 
                      448                     14489                     13040                     12005                     10018                      9745                      9356                      8925                      6259                      5449                      5270                      5107                      4161                      4085                      3615                      2591                      2086                      1701                      1447                       611 
                      449                     14491                     13043                     12005                     10024                      9756                      9348                      8923                      6259                      5450                      5269                      5105                      4167                      4083                      3610                      2588                      2082                      1708                      1444                       613 
                      450                     14501                     13040                     12005                     10017                      9754                      9357                      8917                      6268                      5447                      5270                      5101                      4169                      4080                      3617                      2579                      2082                      1703                      1447                       617 
                      451                     14507                     13033                     12007                     10015                      9755                      9355                      8913                      6259                      5452                      5272                      5113                      4167                      4082                      3621                      2588                      2083                      1702                      1449                       614 
                      452                     14499                     13029                     12003                     10016                      9765                      9359                      8917                      6260                      5449                      5269                      5118                      4168                      4085                      3624                      2587                      2084                      1704                      1453                       605 
                      453                     14500                     13031                     12007                     10013                      9769                      9365                      8917                      6252                      5454                      5268                      5120                      4174                      4077                      3619                      2588                      2086                      1701                      1455                       602 
                      454                     14501                     13028                     12008                     10009                      9773                      9360                      8924                      6255                      5456                      5276                      5119                      4175                      4074                      3622                      2588                      2083                      1703                      1450                       604 
                      455                     14502                     13034                     12013                     10010                      9768                      9362                      8927                      6250                      5452                      5283                      5108                      4177                      4076                      3632                      2588                      2085                      1706                      1451                       614 
