         Cal_age(BP)           Mean SL(m)       95%CI_lower(m)       95%CI_upper(m) 
                4875              4.17387              3.17013               5.0198 
                4850              4.18869              3.24819              4.99025 
                4825              4.21112              3.28881              5.00722 
                4800              4.23816               3.3604              4.99564 
                4775               4.2581              3.37651              4.98116 
                4750              4.28224              3.48017              4.99116 
                4725              4.30984              3.52067              5.00245 
                4700              4.32782              3.55544              5.00296 
                4675              4.35128              3.61979              4.98608 
                4650              4.37222              3.70122               4.9792 
                4625               4.3954              3.70436              4.99004 
                4600              4.42153               3.7567              4.98731 
                4575              4.44253              3.81947              5.00427 
                4550              4.46198              3.87198              4.97464 
                4525              4.48471              3.89487              5.01365 
                4500              4.50863              3.96559              5.00422 
                4475              4.52781              4.02843              5.02948 
                4450              4.54855              4.05197              5.03327 
                4425                4.572              4.04909              5.06217 
                4400              4.59436              4.13638              5.09365 
                4375              4.61632              4.15126              5.09824 
                4350              4.63643              4.14861              5.11166 
                4325              4.66327              4.18585              5.12583 
                4300              4.68517              4.23625              5.16782 
                4275              4.70787              4.25453              5.17777 
                4250              4.72597              4.27018              5.21696 
                4225              4.75148              4.31991              5.22107 
                4200              4.78303              4.36366              5.21447 
                4175              4.82786              4.40581              5.19249 
                4150              4.87605              4.53842              5.17429 
                4125              4.91817              4.61773              5.20723 
                4100              4.93782              4.63519              5.20982 
                4075              4.95517              4.68508               5.2307 
                4050              4.96745              4.70076              5.23471 
                4025              4.97895              4.71311               5.2492 
                4000              4.99122              4.71272              5.27309 
                3975              5.00156              4.73571              5.27156 
                3950              5.01343              4.74242              5.27579 
                3925              5.02241              4.72169              5.30243 
                3900              5.03487               4.7263              5.31623 
                3875              5.04931              4.72673              5.34699 
                3850              5.05963              4.71876              5.37664 
                3825              5.06801              4.72212              5.39563 
                3800              5.08075              4.70695              5.43226 
                3775              5.08899              4.68284              5.45649 
                3750              5.09435              4.66778              5.48891 
                3725              5.10043               4.6843              5.49164 
                3700              5.10321              4.66904              5.49683 
                3675               5.1049              4.65084              5.50805 
                3650              5.09838              4.62897              5.49502 
                3625              5.08904               4.6329               5.5189 
                3600              5.08225              4.60768              5.51695 
                3575              5.07021               4.5696              5.52105 
                3550              5.05662              4.51233              5.52753 
                3525              5.05009              4.51173              5.53213 
                3500              5.03401              4.47193               5.5325 
                3475               5.0135              4.40871               5.5316 
                3450              4.99712              4.40624              5.52688 
                3425              4.98311              4.36637              5.54611 
                3400              4.96721              4.32122              5.52601 
                3375              4.95008              4.28136              5.56044 
                3350              4.92857              4.24066               5.5335 
                3325              4.91228              4.23428              5.58052 
                3300              4.89667              4.14057              5.60675 
                3275              4.87665                4.086              5.58621 
                3250              4.85404              4.04012              5.61218 
                3225              4.83764              4.01335              5.59574 
                3200              4.81888              3.97326              5.65424 
                3175              4.79493              3.88721              5.64757 
                3150               4.7727              3.85031              5.68485 
                3125              4.75372              3.78272              5.71692 
                3100              4.73026              3.73196              5.73467 
                3075              4.70942              3.64992              5.75709 
                3050              4.69418               3.5948              5.82218 
                3025               4.6724              3.57317              5.81189 
                3000              4.64956              3.47307              5.78778 
                2975               4.6348               3.3765              5.89203 
                2950              4.61767              3.36706              5.92397 
                2925              4.59436              3.32938              5.93827 
                2900              4.57961              3.28434              5.93454 
                2875              4.55715               3.1319              6.03015 
