                 Age (BP)                  Sample_1                  Sample_2                  Sample_3                  Sample_4                  Sample_5                  Sample_6                  Sample_7                  Sample_8                  Sample_9                 Sample_10                 Sample_11                 Sample_12                 Sample_13                 Sample_14                 Sample_15                 Sample_16                 Sample_17                 Sample_18                 Sample_19 
                      570                         0                         0                         0                         0                         0                         0                         0                         0              1.52639e-279              9.93515e-269              1.92677e-260              7.65493e-208              3.14025e-202              1.24731e-172              4.96316e-117               8.65061e-79               2.22816e-65               5.03436e-50                0.00247836 
                      580                         0                         0                         0                         0                         0                         0                         0                         0              2.13621e-278              1.39044e-267              2.69655e-259              1.07132e-206              4.39483e-201              1.74563e-171              6.94603e-116                8.6092e-79               2.21749e-65               5.01026e-50                 0.0573674 
                      590                         0                         0                         0                         0                         0                         0                         0                         0              2.12599e-278              1.38379e-267              2.68364e-259              1.06619e-206               4.3738e-201              1.73727e-171              6.91278e-116               1.20487e-77               3.10343e-64               7.01196e-49                  0.162692 
                      600                         0                         0                         0                         0                         0                         0                         0                         0              2.97536e-277              1.93664e-266              3.75581e-258              1.49216e-205              6.12121e-200              2.43135e-170              9.67457e-115               1.19911e-77               3.08857e-64               6.97839e-49                  0.198458 
                      610                         0                         0                         0                         0                         0                         0                         0                         0              2.96112e-277              1.92737e-266              3.73783e-258              1.48502e-205              6.09191e-200              2.41971e-170              9.62826e-115               1.67817e-76               4.32252e-63               9.76639e-48                  0.196146 
                      620                         0                         0                         0                         0                         0                         0                         0                         0              4.14414e-276              2.69739e-265              5.23117e-257              2.07831e-204              8.52575e-199              3.38643e-169              1.34749e-113               1.67014e-76               4.30183e-63               9.71964e-48                  0.197411 
                      630                         0                         0                         0                         0                         0                         0                         0              6.37697e-313               4.1243e-276              2.68447e-265              5.20613e-257              2.06836e-204              8.48494e-199              3.37022e-169              1.34104e-113               2.33739e-75               6.02049e-62               1.36028e-46                  0.142522 
                      640                         0                         0                         0                         0                         0                         0                         0              6.37697e-313              5.77204e-275              3.75697e-264              7.28607e-256              2.89471e-203              1.18748e-197              4.71669e-168              1.87682e-112                2.3262e-75               5.99167e-62               1.35377e-46                 0.0371219 
                      650                         0                         0                         0                         0                         0                         0                         0              1.12823e-312              5.74442e-275              3.73899e-264               7.2512e-256              2.88085e-203               1.1818e-197              4.69411e-168              1.86783e-112               3.25557e-74               8.38546e-61               1.89463e-45                0.00135577 
                      660                         0                         0                         0                         0                         0                         0                         0              1.12823e-312              8.03942e-274              5.23279e-263              1.01482e-254              4.03181e-202              1.65395e-196               6.5695e-167              2.61407e-111               3.23999e-74               8.34532e-61               1.88556e-45                0.00136238 
                      670                         0                         0                         0                         0                         0                         0                         0              1.81498e-312              8.00094e-274              5.20774e-263              1.00996e-254              4.01251e-202              1.64603e-196              6.53806e-167              2.60156e-111               4.53442e-73               1.16794e-59               2.63888e-44               9.73728e-05 
                      680                         0                         0                         0                         0                         0                         0                         0              1.17729e-312              1.11975e-272              7.28834e-262              1.41346e-253              5.61559e-201              2.30366e-195              9.15013e-166              3.64093e-110               4.51272e-73               1.16235e-59               2.62625e-44               9.77925e-05 
                      690                         0                         0                         0                         0                         0                         0                         0              1.17729e-312              1.11439e-272              7.25345e-262               1.4067e-253              5.58871e-201              2.29263e-195              9.10634e-166               3.6235e-110               6.31563e-72               1.62674e-58               3.67548e-43               7.03015e-06 
                      700                         0                         0                         0                         0                         0                         0                         0              2.40363e-312              1.55961e-271              1.01513e-260               1.9687e-252              7.82151e-200              3.20858e-194              1.27445e-164              5.07116e-109                6.2854e-72               1.61895e-58               3.65789e-43               7.03015e-06 
                      710                         0                         0                         0                         0                         0                         0                         0              2.64889e-312              1.55214e-271              1.01028e-260              1.95927e-252              7.78407e-200              3.19322e-194              1.26835e-164              5.04689e-109               8.79654e-71               2.26575e-57               5.11929e-42                4.1971e-07 
                      720                         0                         0                         0                         0                         0                         0                         0              1.96214e-312              2.17225e-270               1.4139e-259              2.74204e-251              1.08939e-198              4.46898e-193              1.77508e-163              7.06321e-108               8.75444e-71               2.25491e-57               5.09479e-42                4.1971e-07 
                      730                         0                         0                         0                         0                         0                         0                         0              3.43375e-312              2.16185e-270              1.40713e-259              2.72892e-251              1.08418e-198              4.44759e-193              1.76658e-163              7.02941e-108                1.2252e-69               3.15578e-56               7.13025e-41                         0 
                      740                         0                         0                         0                         0                         0                         0                         0              3.43375e-312              3.02555e-269              1.96931e-258              3.81917e-250              1.51733e-197              6.22448e-192              2.47237e-162              9.83779e-107               1.21934e-69               3.14068e-56               7.09612e-41                         0 
                      750                         0                         0                         0                         0                         0                         0                         0              1.71688e-312              3.01107e-269              1.95988e-258              3.80089e-250              1.51007e-197              6.19469e-192              2.46053e-162               9.7907e-107               1.70648e-68               4.39544e-55               9.93115e-40                         0 
                      760                         0                         0                         0                         0                         0                         0                         0              3.53186e-312              4.21405e-268              2.74289e-257              5.31942e-249              2.11337e-196              8.66959e-191              3.44356e-161              1.37023e-105               1.69832e-68                4.3744e-55               9.88362e-40                         0 
                      770                         0                         0                         0                         0                         0                         0                         0              3.53186e-312              4.19388e-268              2.72976e-257              5.29396e-249              2.10326e-196              8.62809e-191              3.42708e-161              1.36367e-105               2.37683e-67               6.12205e-54               1.38323e-38                         0 
                      780                         0                         0                         0                         0                         0                         0                         0              4.00277e-312              5.86942e-267              3.82036e-256                7.409e-248              2.94354e-195              1.20752e-189              4.79626e-160              1.90848e-104               2.36545e-67               6.09275e-54               1.37661e-38                         0 
                      790                         0                         0                         0                         0                         0                         0                         0              4.00277e-312              5.84132e-267              3.80207e-256              7.37353e-248              2.92946e-195              1.20174e-189              4.77331e-160              1.89935e-104               3.31049e-66               8.52693e-53               1.92659e-37                         0 
                      800                         0                         0                         0                         0                         0                         0                         0              4.56198e-312              8.17504e-266              5.32107e-255              1.03194e-246              4.09983e-194              1.68185e-188              6.68034e-159              2.65817e-103               3.29464e-66               8.48611e-53               1.91737e-37                         0 
                      810                         0                         0                         0                         0                         0                         0                         0              3.48281e-312              8.13591e-266               5.2956e-255                1.027e-246              4.08021e-194               1.6738e-188              6.64836e-159              2.64545e-103               4.61092e-65               1.18765e-51                2.6834e-36                         0 
                      820                         0                         0                         0                         0                         0                         0                         0              3.48281e-312              1.13864e-264              7.41129e-254              1.43731e-245              5.71032e-193              2.34252e-187               9.3045e-158              3.70235e-102               4.58885e-65               1.18196e-51               2.67055e-36                         0 
                      830                         0                         0                         0                         0                         0                         0                         0              2.96382e-311              1.13319e-264              7.37582e-254              1.43043e-245              5.68299e-193              2.33131e-187              9.25997e-158              3.68463e-102               6.42218e-64               1.65418e-50               3.73749e-35                         0 
                      840                         0                         0                         0                         0                         0                         0                         0              2.96382e-311              1.58592e-263              1.03226e-252              2.00191e-244              7.95346e-192              3.26271e-186              1.29595e-156              5.15671e-101               6.39144e-64               1.64626e-50                3.7196e-35                         0 
                      850                         0                         0                         0                         0                         0                         0                         0              4.31382e-310              1.57833e-263              1.02732e-252              1.99233e-244              7.91539e-192              3.24709e-186              1.28975e-156              5.13203e-101               8.94494e-63               2.30397e-49               5.20565e-34                         0 
