         Cal_age(BP)     Mean rate(mm/yr)   95%CI_lower(mm/yr)   95%CI_upper(mm/yr) 
                6800              2.29155             -1.97654              6.99289 
                6775              2.49253             -1.89443              6.48888 
                6750              2.07403             -2.37799              6.02021 
                6725               2.2636             -1.58728              6.51175 
                6700              2.21651             -1.67395              6.27444 
                6675              2.07434              -2.1372              6.18068 
                6650              2.30248             -1.41634              6.28312 
                6625              2.29312             -1.82191              6.00181 
                6600              2.35381             -1.31545              6.27951 
                6575              2.25928             -1.17273              5.71631 
                6550              2.22206             -1.66574               5.7959 
                6525               2.3318            -0.906697              5.48942 
                6500              2.14119             -1.35625              5.50289 
                6475              2.20925              -1.2673              5.27955 
                6450              2.36271            -0.875352              5.31208 
                6425              2.30816             -1.05464              5.47865 
                6400              2.30862            -0.439659              5.21272 
                6375              2.28763            -0.527658               5.1877 
                6350              2.27842            -0.183604              4.83909 
                6325              2.38779            -0.090403              4.83423 
                6300              2.41754             0.112638              4.40486 
                6275              2.18661            0.0426914              4.50468 
                6250              1.45618            -0.678402              3.55173 
                6225             0.819767             -1.73182              3.18425 
                6200             0.560913              -2.1711              3.30803 
                6175             0.452465             -2.43231              2.99402 
                6150             0.492576              -1.9744              3.11452 
                6125             0.518614             -2.37867              3.67099 
                6100             0.453456              -2.5911              3.33152 
                6075              0.42437             -2.67347              3.34984 
                6050             0.395415              -2.9138              3.34874 
                6025             0.564152             -2.80058               3.9045 
                6000             0.529387             -2.60331              3.87045 
                5975             0.320578              -3.0089              3.83825 
                5950             0.458042             -3.17095              3.56741 
                5925             0.430338             -3.03781              3.66427 
                5900             0.333936             -3.07695              3.55631 
                5875             0.431225             -3.05293              3.51474 
                5850             0.432801             -3.08679              3.70109 
                5825             0.406326             -2.78808              3.70557 
                5800             0.351608              -3.2288              3.59061 
                5775             0.449024             -2.94318              3.36971 
                5750             0.489421             -2.62864              3.95452 
                5725             0.528799                -3.16              3.87463 
                5700             0.458371              -2.6091              3.52987 
                5675             0.492767             -2.78719              3.64965 
                5650             0.473137             -2.65757              3.48378 
                5625             0.476442              -2.5656              3.39809 
                5600             0.423021             -2.63877              3.34488 
                5575             0.396818             -2.62434              3.23155 
                5550             0.455203             -2.47818              3.59558 
                5525             0.548245             -2.67629              3.38344 
                5500             0.462091             -2.44434              3.28835 
                5475             0.362381              -2.3756              3.22831 
                5450             0.502613             -2.15883              3.73171 
                5425             0.574071             -3.34239               4.2555 
                5400             0.517918             -3.11235              4.30521 
                5375             0.582827             -2.96444              4.15702 
                5350             0.490514             -3.70748              5.19115 
                5325             0.304372              -4.0894              4.77642 
                5300           -0.0829207             -5.07302              4.79004 
                5275            -0.784134             -6.54032              3.78162 
                5250             -1.62428             -8.44911              3.78902 
                5225             -2.35292             -9.46221              4.19811 
                5200             -2.69649              -11.559              4.64165 
                5175              -2.6761             -11.6979              4.02681 
                5150             -2.03413             -8.81995              3.53776 
                5125             -1.46139              -8.0239              3.49167 
                5100            -0.816037             -6.98266              3.64504 
                5075             0.104021             -3.47817               3.0268 
                5050             0.665241             -2.03557              3.38921 
                5025             0.694016             -2.00787              3.40695 
                5000             0.843379             -1.83779              3.89224 
                4975             0.752519             -2.21202              3.81496 
                4950             0.812741             -2.03661              3.62173 
                4925             0.787163             -2.55679              4.32479 
